0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
	commit{dir=NRTCachingDirectory(MMapDirectory@/home/watzek343/Documents/geo.lclark/jetty/solr/blacklight-core/data/index lockFactory=NativeFSLockFactory@/home/watzek343/Documents/geo.lclark/jetty/solr/blacklight-core/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_v,generation=31}
2909 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – newest commit generation = 31
2940 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.search.SolrIndexSearcher  – Opening Searcher@52536146[blacklight-core] main
2945 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.rest.ManagedResourceStorage  – File-based storage initialized to use dir: /home/watzek343/Documents/geo.lclark/jetty/solr/blacklight-core/conf
2946 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.rest.RestManager  – Initializing RestManager with initArgs: {storageDir=/home/watzek343/Documents/geo.lclark/jetty/solr/blacklight-core/conf}
2953 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.rest.ManagedResourceStorage  – Reading _rest_managed.json using file:dir=/home/watzek343/Documents/geo.lclark/jetty/solr/blacklight-core/conf
3001 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.rest.ManagedResourceStorage  – Loaded LinkedHashMap at path _rest_managed.json using file:dir=/home/watzek343/Documents/geo.lclark/jetty/solr/blacklight-core/conf
3001 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.rest.ManagedResource  – Loaded initArgs {} for /rest/managed
3001 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.rest.RestManager  – Initializing 0 registered ManagedResources
3013 [searcherExecutor-6-thread-1] INFO  org.apache.solr.core.SolrCore  – QuerySenderListener sending requests to Searcher@52536146[blacklight-core] main{StandardDirectoryReader(segments_v:736:nrt _9w(4.10.3):C1)}
3013 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.CoreContainer  – registering core: blacklight-core
3015 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – user.dir=/home/watzek343/Documents/geo.lclark/jetty
3015 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – SolrDispatchFilter.init() done
3054 [main] INFO  org.eclipse.jetty.server.AbstractConnector  – Started SocketConnector@0.0.0.0:8983
3137 [searcherExecutor-6-thread-1] INFO  org.apache.solr.core.SolrCore  – UnInverted multi-valued field {field=dct_isPartOf_sm,memSize=4336,tindexSize=44,time=0,phase1=0,nTerms=1,bigTerms=0,termInstances=1,uses=0}
3138 [searcherExecutor-6-thread-1] INFO  org.apache.solr.core.SolrCore  – UnInverted multi-valued field {field=dct_spatial_sm,memSize=4369,tindexSize=77,time=0,phase1=0,nTerms=1,bigTerms=0,termInstances=1,uses=0}
3139 [searcherExecutor-6-thread-1] INFO  org.apache.solr.core.SolrCore  – UnInverted multi-valued field {field=dc_creator_sm,memSize=4348,tindexSize=56,time=0,phase1=0,nTerms=1,bigTerms=0,termInstances=1,uses=0}
3141 [searcherExecutor-6-thread-1] INFO  org.apache.solr.core.SolrCore  – UnInverted multi-valued field {field=dc_subject_sm,memSize=4342,tindexSize=50,time=0,phase1=0,nTerms=3,bigTerms=0,termInstances=3,uses=0}
3145 [searcherExecutor-6-thread-1] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=null path=null params={q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false&event=firstSearcher} hits=0 status=0 QTime=131 
3146 [searcherExecutor-6-thread-1] INFO  org.apache.solr.core.SolrCore  – QuerySenderListener done.
3146 [searcherExecutor-6-thread-1] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] Registered new searcher Searcher@52536146[blacklight-core] main{StandardDirectoryReader(segments_v:736:nrt _9w(4.10.3):C1)}
4373 [qtp1734853116-18] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={f.layer_geom_type_s.facet.limit=9&facet.field=dct_provenance_s&facet.field=dc_creator_sm&facet.field=dc_publisher_s&facet.field=dc_subject_sm&facet.field=dct_spatial_sm&facet.field=dct_isPartOf_sm&facet.field=solr_year_i&facet.field=dc_rights_s&facet.field=layer_geom_type_s&facet.field=dc_format_s&q.alt=*:*&qt=search&f.dc_rights_s.facet.limit=9&start=0&sort=score+desc,+dc_title_sort+asc&rows=10&f.solr_year_i.facet.limit=11&f.dc_publisher_s.facet.limit=9&f.dct_provenance_s.facet.limit=9&f.dc_format_s.facet.limit=9&wt=ruby&facet=true&f.dc_creator_sm.facet.limit=9&f.dc_subject_sm.facet.limit=9&f.dct_spatial_sm.facet.limit=9&f.dct_isPartOf_sm.facet.limit=9} hits=1 status=0 QTime=22 
5888 [qtp1734853116-17] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={f.layer_geom_type_s.facet.limit=9&facet.field=dct_provenance_s&facet.field=dc_creator_sm&facet.field=dc_publisher_s&facet.field=dc_subject_sm&facet.field=dct_spatial_sm&facet.field=dct_isPartOf_sm&facet.field=solr_year_i&facet.field=dc_rights_s&facet.field=layer_geom_type_s&facet.field=dc_format_s&q.alt=*:*&qt=search&f.dc_rights_s.facet.limit=9&start=0&sort=score+desc,+dc_title_sort+asc&rows=10&f.solr_year_i.facet.limit=11&f.dc_publisher_s.facet.limit=9&f.dct_provenance_s.facet.limit=9&f.dc_format_s.facet.limit=9&wt=ruby&facet=true&f.dc_creator_sm.facet.limit=9&f.dc_subject_sm.facet.limit=9&f.dct_spatial_sm.facet.limit=9&f.dct_isPartOf_sm.facet.limit=9} hits=1 status=0 QTime=11 
7700 [qtp1734853116-16] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={f.layer_geom_type_s.facet.limit=9&facet.field=dct_provenance_s&facet.field=dc_creator_sm&facet.field=dc_publisher_s&facet.field=dc_subject_sm&facet.field=dct_spatial_sm&facet.field=dct_isPartOf_sm&facet.field=solr_year_i&facet.field=dc_rights_s&facet.field=layer_geom_type_s&facet.field=dc_format_s&q.alt=*:*&qt=search&f.dc_rights_s.facet.limit=9&start=0&fq={!raw+f%3Ddct_provenance_s}L%26C&sort=score+desc,+dc_title_sort+asc&rows=10&f.solr_year_i.facet.limit=11&f.dc_publisher_s.facet.limit=9&f.dct_provenance_s.facet.limit=9&f.dc_format_s.facet.limit=9&wt=ruby&facet=true&f.dc_creator_sm.facet.limit=9&f.dc_subject_sm.facet.limit=9&f.dct_spatial_sm.facet.limit=9&f.dct_isPartOf_sm.facet.limit=9} hits=1 status=0 QTime=10 
9213 [qtp1734853116-15] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={q={!raw+f%3Dlayer_slug_s+v%3D$id}&qt=document&id=accf_boundary&wt=ruby} hits=1 status=0 QTime=2 
9223 [qtp1734853116-14] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={f.layer_geom_type_s.facet.limit=9&facet.field=dct_provenance_s&facet.field=dc_creator_sm&facet.field=dc_publisher_s&facet.field=dc_subject_sm&facet.field=dct_spatial_sm&facet.field=dct_isPartOf_sm&facet.field=solr_year_i&facet.field=dc_rights_s&facet.field=layer_geom_type_s&facet.field=dc_format_s&q.alt=*:*&qt=search&f.dc_rights_s.facet.limit=9&fl=*&start=0&fq={!raw+f%3Ddct_provenance_s}L%26C&sort=score+desc,+dc_title_sort+asc&rows=2&f.solr_year_i.facet.limit=11&f.dc_publisher_s.facet.limit=9&f.dct_provenance_s.facet.limit=9&f.dc_format_s.facet.limit=9&wt=ruby&facet=false&f.dc_creator_sm.facet.limit=9&f.dc_subject_sm.facet.limit=9&f.dct_spatial_sm.facet.limit=9&f.dct_isPartOf_sm.facet.limit=9} hits=1 status=0 QTime=1 
54826 [qtp1734853116-12] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={q={!raw+f%3Dlayer_slug_s+v%3D$id}&qt=document&id=accf_boundary&wt=ruby} hits=1 status=0 QTime=3 
54837 [qtp1734853116-19] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={f.layer_geom_type_s.facet.limit=9&facet.field=dct_provenance_s&facet.field=dc_creator_sm&facet.field=dc_publisher_s&facet.field=dc_subject_sm&facet.field=dct_spatial_sm&facet.field=dct_isPartOf_sm&facet.field=solr_year_i&facet.field=dc_rights_s&facet.field=layer_geom_type_s&facet.field=dc_format_s&q.alt=*:*&qt=search&f.dc_rights_s.facet.limit=9&fl=*&start=0&fq={!raw+f%3Ddct_provenance_s}L%26C&sort=score+desc,+dc_title_sort+asc&rows=2&f.solr_year_i.facet.limit=11&f.dc_publisher_s.facet.limit=9&f.dct_provenance_s.facet.limit=9&f.dc_format_s.facet.limit=9&wt=ruby&facet=false&f.dc_creator_sm.facet.limit=9&f.dc_subject_sm.facet.limit=9&f.dct_spatial_sm.facet.limit=9&f.dct_isPartOf_sm.facet.limit=9} hits=1 status=0 QTime=1 
58050691 [qtp1734853116-12] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={q={!raw+f%3Dlayer_slug_s+v%3D$id}&qt=document&id=accf_boundary&wt=ruby} hits=1 status=0 QTime=8 
58050699 [qtp1734853116-19] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={f.layer_geom_type_s.facet.limit=9&facet.field=dct_provenance_s&facet.field=dc_creator_sm&facet.field=dc_publisher_s&facet.field=dc_subject_sm&facet.field=dct_spatial_sm&facet.field=dct_isPartOf_sm&facet.field=solr_year_i&facet.field=dc_rights_s&facet.field=layer_geom_type_s&facet.field=dc_format_s&q.alt=*:*&qt=search&f.dc_rights_s.facet.limit=9&fl=*&start=0&fq={!raw+f%3Ddct_provenance_s}L%26C&sort=score+desc,+dc_title_sort+asc&rows=2&f.solr_year_i.facet.limit=11&f.dc_publisher_s.facet.limit=9&f.dct_provenance_s.facet.limit=9&f.dc_format_s.facet.limit=9&wt=ruby&facet=false&f.dc_creator_sm.facet.limit=9&f.dc_subject_sm.facet.limit=9&f.dct_spatial_sm.facet.limit=9&f.dct_isPartOf_sm.facet.limit=9} hits=1 status=0 QTime=0 
